followers_count,user_key,description
4516,instotus,"This is a community for everyone whose heart is with America. Don't be a stranger, be a patriot! Follow us!"
1294,GlobalFoe,Designed at unveiling roots of failed attempts to solve global problems #SeeGlobalFoe
3178,chrisuport_port,"Tierarzt;Mag CauntryMusic und Basketball; Politikaktiv, Hashtag-Spieler. Hat 2 Tochter und 3 Enkel"
1,Darrell_H_Hunt,
6,MargarethKurz,
17,sternandreas404,
9426,WhiteHouseCards,"«Я всегда считал, что власть важнее денег, но когда доходит до выборов, именно деньги обеспечивают власть»"
72,Arseni_Roman,У меня черный пояс по сарказму.
90,Bratuha_Borcuha,
14353,bydrbre_,"секси-генсекси.  #бровибрежнева снова в деле.       МЫ ВЕРНУЛИСЬ!
Брови Вконтакте - http://vk.com/bydrbre"
5811,erdollum,"Keiner kann uns verbieten, uns so zu äußern, wie wir es wollen! Wir sind für die Meinungsfreiheit!"
129,inspectAn,Бывал на других планетах
92,internalmemer,sour. salty. bitter.
115,krivelev_law,"Если смех продлевает жизнь, то я бессмертный"
88,med_Harley,
88,MiliMillennium,"План действий на сегодня:
1. Проебать день
2. Лечь спать"
98,MrServelat,Редкий покемон
140,nana_lama,"Ты меня хотя бы набери, а лучше забери."
19678,PolitOpros,Общероссийская репрезентативная выборка для соцопросов составляет 1600 человек
87,ShikarnoeL,"только те люди, которые мне нравятся, могут трогать мои волосы"
120,TtlenLen,
1957,WorldnewsPoli,"All major information policy in the world, we are ready to give you the most accurate and timely information in the field of politics and economics"
4476,4ever1937,"Утром кормили: хлеб, кипяток. Мне еще хлеба не полагалось"
9,AndreasEulitz,
14,angela_lattke,#USA and #Deutdchland - friends 4rever! #TTIP
1753,berkhoff85,"Ich  interessiere mich für #Politik, #SPD, #Wirtschaft und Internationale Beziehungen. In der Freizeit spiele ich Fußball und bin mit meiner Familie gern."
8,BerlinBote,
2404,Blacktivists,Non-Governmental Organization (NGO)
91,briys_valera,"Любите душу, а не то, что снаружи."
1,ChaNeutral,What makes a man turn neutral... Lust for gold? Power? Or were you just born with a heart full of neutrality?
17,fischermaria933,
37,GeoreviewEurope,
98,gorelkinnn,любитель всяких глупостей
2618,inst_vets,
5081,Jihadist2ndWife,Wife of an ISIS terrorist. Enjoying submission to my husband and absence of women rights.   THIS IS SATIRICAL ACCOUNT NOT CONNECTED WITH ISIS!
67,Jorda_Morgan,"У людей период сейчас такой...
Либо Есенин.
Либо Каспийский."
338,LGBTuni,"We speak for all fellow members of LGBT community across the nation.
Gender preference does not define you. Your spirit defines you."
785,Lmarinays,НЛО
1217,lukas_rosler,
82,maximgaron1,"Né à #Paris, je m'interesse des affaires étrangères. Tu peux trouver ici les #nouvelles récentes, n'hésitez pas à partager vos pensées. #Syrie"
3263,mmmdarya,
74,Moda_Barina,"Стильно, модно, молодежно"
980,mtthsberger,"Fauler Student, ich studiere Wirtschaftsinformatik, spiele in der Freizeit  Tennis und spaziere mit meinen Freunden gern"
244,mwiqcen,"я не люблю обнимашки, не тискай меня!"
30,PeeOnHillary,"Print Hillary's face  Pee on it  Send us proofs  Earn money 

https://imgur.com/a/3p8EO"
52,PeterKistner,
5,RUS_IN_USA,
10,schultei2,Ich glaube an Gerechtigkeit seit dem 22. November 2005
26,SonderKatharina,Ich studiere BWL und mag reisen!
7,TinaTkurtz1222,
3216,TTsvetkov,упакуй луну
740,Williams8kalvin,Videoblog about social issues. Subscribe to our YouTube channel!
1973,Williams_Diana_,American. Conservative. Woman.
1,JoachimBuchwitz,
25,klara_sauber,
8,MariaNeuberg1,
,andrebeauleger,
,angelabach991,
,AnthonyWoodboy,
,_Billy_Moyer_,
,c__wells,
,christinapool61,
,evewebster373,
,fishalexanderr,
,Jamie_Mccarthy_,
,KarolineAuge,
,LilyLilyhasse,
,Logan_WhatsUp,
,manuelkrosss,
,MicParrish,
,NinonDerrien,
,sylvielefevrier,
,verrellportier,
,LelandGraves_,
,GlennHarper_,
,TodayCleveland,
,iris0_o,
,ClydeDaws0n,
,Joseph_Jenks,
,Erdollum666,
,EricaRutter,
,riogithief,
,JaedenMassey,
,IanCalh0un,
,MilwaukeeVoice,
,portmela,
,BeverlyBalsom,
,ssus_panther,
,ChristinaCrisss,
,JsnCarey,
,ColbyST1,
,AlbertMoreNMore,
,Roscoe_Riddle,
,Israel_Wills,
,OrrClay,
,agnesgrhm,
,RyannCooperwood,
,Gibbs_Jeremy_,
,GraceLilStar,
,wildharee,
,handsome_henson,
,Danny_Turner_1,
,jrrbrtt,
,Jon_Underwood_,
,EdmundC0oke,
,SindyBlossom,
,sto_christi,
,YaelTrouble,
,KristyanaNN,
,T0nyaSinclair,
,KimberleighLamb,
,HamburgBote,
,ReachItDoIt,
,KirstenLaDaniel,
,gwen_garland,
,KlausFinker,
,srahSE,
