,name,description
35,Rio Ruiz,"Everything I do, is for my family. Proud caretaker of a beautiful boxer named Ellie. Luke 12:48. Atlanta Braves 3B"
36,James McCann,Follower of Jesus Christ | Husband to @Jessica_McCann3 | Detroit Tigers catcher | Arkansas Razorback | Mark 10:27
37,Gregory Lambert,Joshua 1:9 | San Diego Padres organization <U+26BE><U+FE0F> Drake Field Expert
38,Clayton Kershaw,Colossians 3:23
39,Bryse Wilson,|| Pitcher in the Atlanta Braves Organization<U+26BE><U+FE0F> || Matthew 23:12
40,Ashur Tolliver,Proverbs 16:9 l Instagram/Snapchat: ATollie24 l Proud Arkansan l Compatriot Outdoors™ <U+2B07><U+FE0F>FOLLOW <U+2B07><U+FE0F>
41,Blake Lillis,|| KC || Milwaukee @Brewers Organization •Jeremiah 29:11• #TeamTopSpeed
42,Jason Motte,"Follower of Christ, Father, Husband, Son, Friend, and a thrower of baseballs!!! John 3:16 Matthew 6:34"
43,Stephen Smith,Arizona Diamondbacks organization | Texas Tech University Alum | Phil 4:13|
44,Tate Blackman,James 4:7 | ig:@blackmantate | Chicago White Sox Organization | Ole Miss Baseball Alum
45,Jeremy Walker,|| Jeremiah 29:11 || Pitcher in the Atlanta Braves organization || IG: jeremywalker12 || Gardner-Webb!!!
46,Karsen Lindell,Former Milwaukee Brewer. Luke 1:37. RIP Maddi. 6/9/14
47,Jordy Mercer,Play for the Pittsburgh Pirates...@mercerranch.           Psalms 16:8
48,Chris Narveson,"Pitcher for the miami marlins-married to my beautiful wife-proud owner of 2 franchises of Orangetheory in Charlotte-univ., NC and Fort Mill SC-John 3:30"
49,Adrián González,"Husband, Father, Love Jesus. Ps 27:1 1st baseman MLB"
50,Cam Bedrosian,Follower of Jesus. Saved by grace. RHP Los Angeles Angels. Duck shooter atter. Gamer. Sherpa. Psalm 18:2
51,Brett Cumberland,Follower of Jesus. Son. Brother. Average Joe. Ball player in @Braves organization. Cal Baseball Alumni. Colossians 3:23 ~ Corinthians 15:10 #gobears
52,Jordan Patterson,Rockies Organization | Mobile AL | James 4:7
53,Zach Warren,@phillies|@BalengeeGroup|VFL|OTG|Phil. 4:13|@duuurbs <U+2661>|Snap:zdub22/Insta:@zdub.23
54,bryce brentz,"Do not gloat over me...For though I fall, I will rise again MICAH 7:8  ISAIAH 41:10 Husband to @annemarie30"
55,A$AP Chi,"<U+26BE><U+FE0F> Don't let the fear of striking out, keep you from playing the game. <U+26BE><U+FE0F> ChiSox Org <U+26AA><U+FE0F><f0><U+009F><U+0092><U+008E><U+26AB><U+FE0F>                         Philippians 4:13 <f0><U+009F><U+0099><U+008C><f0><U+009F><U+008F><U+00BD><U+261D><f0><U+009F><U+008F><U+00BD>"
56,Joshua Pennington,Gods not dead | Isaiah 40:31 | Milwaukee Brewers Minor league pitcher | Instagram: jpenns5 | #GoatMode | <U+26BE><U+FE0F>
57,Kaleb,God. Family. Friends. Baseball. Turtles. Pitcher for the NYY organization. Isaiah 41:10. Phillipians 4:13. Matthew 7:1-5
58,Wynton Bernard,<U+26BE> Outfielder<f0><U+009F><U+0090><U+00BB>- Cubs Organization. Niagara University Graduate <f0><U+009F><U+0091><U+00A8><f0><U+009F><U+008F><U+00BE><U+200D><f0><U+009F><U+008E><U+0093> . Jeremiah 29:11<f0><U+009F><U+0099><U+008F><f0><U+009F><U+008F><U+00BE>
59,Hobie Harris,RHP in New York Yankees Organization | Pitt Alum | Proud Texan | Gaeta Sports Management | Eccl. 9:10 | #TeamNokona
60,Caleb Whalen,God. Family. Former Milwaukee Brewers Organization. UofP Alumni. Proverbs 16:9
61,Daniel Winkler,Follower of Christ. Atlanta Braves RHP. @CWinkler19 Romans 8:31 | John 16: 33
62,Corey Zangari,First Baseman in Chicago WhiteSox Organization <U+26BE><U+FE0F> John 3:30
63,Evan Miller,Psalm 55:22. RHP in the Padres organization
64,Sam Tuivailala,St.Louis Cardinals RHP. Proverbs 3:5-6 #TokoUso https://t.co/o5qYi64jQO
65,Grayson Long,Pitcher in the Detroit Tigers organization. Former Fighting Texas Aggie Isaiah41:10 •JBCustomCalls•
66,Bryan Morris,MLB Pitcher. Married. Dad. Romans 8:28 Instagram @Bryan19Morris
67,Robinson Chirinos,Servant of Christ. Husband of @heidyyrob Father. Isaias 41:10
68,Chad Bettis,Believer! Player for Colorado Rockies. Married to Kristina. Father to Everleigh. My pup is better than yours. I am a TC Survivor! Romans 8:18.
69,Rob Whalen,Psalms 34:4 | Odin Kane <f0><U+009F><U+0090><U+00B6>
70,Tim Beckham,2 Chron 15:7 IG: t_beckham1 • Be that positive impact that inspires young kings and queens to be great in any aspect in life. Continue to Elevate
71,Jake Smith,Baseball Player. I'm the guy they bring in when the good pitchers get tired. Joshua 1:9
73,Shelby C Miller,Philippians 4:13 <U+2625> Arizona Diamondbacks 26 Instagram @shelbycmiller19.
74,Drew Finley,| Professional Baseball Player- New York Yankees <U+26BE><U+FE0F> | IG: drew_finley | 2 Timothy 1:7 |
75,Alex Lange,Follower of Christ. Joshua 1:9. Cubs Organization. Former LSU Tiger.
77,Joe DeNato,"From San Diego, California || Indiana University Alumni || Pitching For Phillies Organization || 1 Corinthians 1:25"
78,Matthew Batten,Phillipians 4:13 <U+26BE>| San Diego Padres Organization
79,Dan Jennings,"Follower of Christ, husband, father, in that order. Pitcher for the Tampa Bay Rays. Always stay humble. Phil. 4:6"
80,Kevin Chapman,Matthew 6:19-21 <U+270C><U+FE0F>GVO
81,JJ Hoover,Follower of Christ. Married to my best friend and love of my life @Megan_KateH Owner @SonRiseMeadows Pitcher-Currently for Milwaukee Brewers  Josh 1:9
82,Jake Rogers,Former @GreenWaveBSB | Currently playing in the @tigers organization | @MizunoBaseball guy |Jeremiah 29:11
83,Daniel Norris,I live to find 3 things. 1. Eternal life. 2. The strike zone. & 3. Good waves - 2 Peter 3:18 - just keep livin' *dirtbag*
84,Chase Anderson,"Follower of Jesus, Husband to Anna, Father to Hunter & 3 amazing dogs, Family, Friends, and Baseball Player. Boomer Sooner #BrewCrew John 3:17"
85,Daniel Nava,"Love my God, my wife, my kids and my job. Phil 4:13"
86,Cody Stanley,"And we know that in all things God works for the good of those who love him, who have been called according to his purpose. Romans 8:28"
87,Cesar Valdez,Pitcher for The Toronto Blue Jays <U+26BE><U+FE0F> Isaías 60:1 <f0><U+009F><U+0093><U+0096>
88,Kyle Barrett,Outfielder in the Miami Marlins organization<U+26BE><U+FE0F>Georgia boy just trying to make his way. LUKE1:37
89,Stephen Vogt,Proud Husband and Father. Catcher for the Milwaukee Brewers. Colossians 3:23.
90,Ryne Slack,I try to throw balls fast for the Texas Rangers. From a town named after a number. Clemson Fan. Isaiah 41:10
91,Jake Peter,Former Creighton Bluejay | Infielder in the Los Angeles Dodgers Organization (Psalms 118:6) #RollJays
92,Connor Owings,Coastal Carolina Alum||2016 National Champion||Bet On Yourself||Romans 11:36
93,Mac Marshall,San Francisco Giants. Chipola Indian. Parkview Panther. Team USA Gold Medalist - Rest easy Coach Joe #TG | Matthew 19:26
95,HéctorVelázquez <f0><U+009F><U+0087><U+00B2><f0><U+009F><U+0087><U+00BD>,"Esfuérzate y sé valiente. Josué 1:9.. soy hijo de Dios, esposo de Isamary y padre de Héctor Emilio. De Cajeme pa'l mundo! #RedSoxOrganization"
96,Brady Rodgers,Lucky enough to call @vrodgers24 my wife | follower of Christ | 2 Corinthians 5:7 | @ASU_baseball 2010-2012 | Pitcher for the @astros | @playersforpits | CH34
97,Carlos Salazar <f0><U+009F><U+0087><U+00B2><f0><U+009F><U+0087><U+00BD>,Pitcher in the LA Angels organization y Charros De Jalisco Luke 1:37 SC: alexbomp
98,Ender Inciarte,John 3:16 <f0><U+009F><U+0087><U+00BB><f0><U+009F><U+0087><U+00AA>
100,Max Povse,Pitcher for the Seattle Mariners #68. Phil 4:13
101,Heath Hembree,BoSox. SMC. CofC. Romans 8:31
102,Casey Bloomquist,Cal poly slo-- Chicago cubs organization Proverbs 3:5-6
103,Matt Ramsey,"Pitcher in @Astros Organization |#VFL| Work hard in silence, Let success be your noise |LVMG| Married 2 @kirstenmramsey| https://t.co/LA6hM3vXgJ | James 4:7"
104,Kirk McCarty,LHP in the Cleveland Indians organization | Former Southern Miss Golden Eagle #SMTTT |Proverbs 3:5-6
105,Whit Merrifield,"Former Gamecock, now I'm a Royal. Mark 12:31. I do my best to love everyone, some of you make it hard."
106,Paul Sewald,Pitcher for the New York Mets; Former USD Torero; I can do all things through Christ who strengthens me---Phil 4:13
107,Chase Whitley,"Jesus Follower, Husband to Brooklyn, Dad to Clete, Pitcher Atlanta Braves Mark 11:22 Phil 1:20 John 12:25 Rom 12:2"
108,Beau Burrows,Follower of Christ | Pitcher in the Detroit Tigers Organization | Luke 1:37
